Category,Name,Organization,Data Format,Update Frequency,Description,API
Education,"List of Local Kindergartens (KGs) Not Joining the ""Free Quality KG Education Scheme"" but Participating in the ""2018/19 K1 Admission Arrangements""",Education Bureau,XLSX,On a need basis,"Provide list of local kindergartens (KGs) not joining ""Free Quality KG Education Scheme” but participating in the ""2018/19 K1 Admission Arrangements""",N
IT and Broadcasting,Speeches and Presentations,Office of the Government Chief Information Officer,JSON,As and when necessary,Speeches and Presentations of Office of the Government Chief Information Officer,N
IT and Broadcasting,GovWiFi premises,Office of the Government Chief Information Officer,CSV,As and when necessary,Geo-referenced data of GovWiFi premises.,Y
IT and Broadcasting,GovCERT.HK Security Advisories,Office of the Government Chief Information Officer,XML,As and when necessary,GovCERT.HK Security Advisories,N
IT and Broadcasting,GovCERT.HK Security Alerts,Office of the Government Chief Information Officer,XML,As and when necessary,GovCERT.HK Security Alerts,N
IT and Broadcasting,RTHK -  World News,Radio Television Hong Kong,XML,As and when necessary,RTHK News website allows you to stay up to date with the latest world news provided by RTHK.,N
IT and Broadcasting,RTHK -  Sport News,Radio Television Hong Kong,XML,As and when necessary,RTHK News website allows you to stay up to date with the latest sport news provided by RTHK.,N
IT and Broadcasting,RTHK -  Local News,Radio Television Hong Kong,XML,As and when necessary,RTHK News website allows you to stay up to date with the latest local news provided by RTHK.,N
Education,Statistics of Tertiary Student Finance Scheme - Publicly-funded Programmes,Working Family and Student Financial Assistance Agency,XLSX,As and when necessary,Provides the statistics about Tertiary Student Finance Scheme - Publicly-funded Programmes,N
IT and Broadcasting,RTHK -  Finance News,Radio Television Hong Kong,XML,As and when necessary,RTHK News website allows you to stay up to date with the latest finance news provided by RTHK.,N
IT and Broadcasting,RTHK -  Greater China News,Radio Television Hong Kong,XML,As and when necessary,RTHK News website allows you to stay up to date with the latest Greater China news provided by RTHK.,N
Education,Statistics of Sir Edward Youde Memorial Fund,Working Family and Student Financial Assistance Agency,XLSX,As and when necessary,Provides the statistics about Sir Edward Youde Memorial Fund,N
Education,Statistics of Subsidy Scheme for Internet Access Charges,Working Family and Student Financial Assistance Agency,XLSX,As and when necessary,Provides the statistics about Subsidy Scheme for Internet Access Charges,N
Education,Statistics of Student Travel Subsidy Scheme,Working Family and Student Financial Assistance Agency,XLSX,As and when necessary,Provides the statistics about Student Travel Subsidy Scheme,N
Education,Statistics of School Textbook Assistance Scheme Scheme,Working Family and Student Financial Assistance Agency,XLSX,As and when necessary,Provides the statistics about School Textbook Assistance Scheme Scheme,N
Education,Statistics of Non-means-tested Loan Scheme,Working Family and Student Financial Assistance Agency,XLSX,As and when necessary,Provides the statistics about Non-means-tested Loan Scheme,N
Education,Statistics of Examination Fee Remission Scheme,Working Family and Student Financial Assistance Agency,XLSX,As and when necessary,Provides the statistics about Examination Fee Remission Scheme,N
Education,Statistics of Grant for School-related Expenses for Kindergarten Students,Working Family and Student Financial Assistance Agency,XLSX,As and when necessary,Provides the statistics about Grant for School-related Expenses for Kindergarten Students,N
Education,Statistics of Kindergarten and Child Care Centre Fee Remission Scheme,Working Family and Student Financial Assistance Agency,XLSX,As and when necessary,Provides the statistics about Kindergarten and Child Care Centre Fee Remission Scheme,N
Education,Statistics of Financial Assistance Scheme for Post-secondary Students,Working Family and Student Financial Assistance Agency,XLSX,As and when necessary,Provides the statistics about Financial Assistance Scheme for Post-secondary Students,N
IT and Broadcasting,Statistics on Fixed Number Portings,Office of the Communications Authority,XLSX,Every 2 months,Statistics on Fixed Number Portings,N
IT and Broadcasting,Statistics on Customers of Licensed Internet Service Providers in Hong Kong,Office of the Communications Authority,XLSX,Monthly,Statistics on Customers of Licensed Internet Service Providers in Hong Kong,Y
Education,"Statistics on scholarly books, monographs and chapters, and journal publications from UGC-funded universities",University Grants Committee Secretariat,CSV,Every year,Statistics on academic publications from UGC-funded universities,N
Education,Teaching Staff Statistics,Education Bureau,XLSX,Once a year,Information on the Number and Academic Qualifications of Academic Staff by Institution,N
IT and Broadcasting,Statistics on Customer Access via Broadband Networks,Office of the Communications Authority,XLSX,Monthly,Statistics on Customer Access via Broadband Networks,Y
Education,Suggested Book Lists for Technology Education,Education Bureau,XLS,Yearly,Provide the suggested book lists for Technology Education,N
IT and Broadcasting,Statistics on Activated Capacity of External Telecommunications Facilities by Countries or Territories,Office of the Communications Authority,XLSX,Quarterly,Statistics on Activated Capacity of External Telecommunications Facilities by Countries or Territories,Y
Education,Students Statistics,Education Bureau,XLSX,Once a year,Student Statistics on Full-time Locally-accredited Self-financing Sub-degree and Undergraduate Programmes,N
Education,"Student Enrolment of UGC-funded Programmes by University, Level of Study, Place of Origin and Mode of Study",University Grants Committee Secretariat,CSV,Every year,Statistics on student enrolment in UGC-funded programmes,N
IT and Broadcasting,Statistics on Capacity of External Telecommunications Facilities,Office of the Communications Authority,XLSX,Quarterly,Statistics on Capacity of External Telecommunications Facilities,Y
IT and Broadcasting,Statistics of approved projects of Innovation and Technology Fund,Innovation and Technology Commission,XLS,Every 1 month,Statistics of approved projects of Innovation and Technology Fund,N
Education,Student Enrolment in Secondary Day Schools by District and Grade,Education Bureau,XLS,Yearly,Provides student enrolment in secondary day schools by district and grade,N
Education,Student Enrolment in Local Other Secondary Day Courses by Grade,Education Bureau,XLS,Yearly,Provides student enrolment in local other secondary day courses by grade,N
Education,Student Enrolment in Local Private Secondary Evening Schools by Grade,Education Bureau,XLS,Yearly,Provides student enrolment in local private secondary evening schools by grade,N
Education,Student Enrolment in Special Education (Including Special Classes in Ordinary Schools) by Level,Education Bureau,XLS,Yearly,Provides student enrolment in special education (including special classes in ordinary schools) by level,N
Education,Student Enrolment in Primary Schools by District and Grade,Education Bureau,XLS,Yearly,Provides student enrolment in primary schools by district and grade,N
Education,Student Enrolment by Level of Education,Education Bureau,XLSX,Yearly,Provides student enrolment by level of education.,Y
Education,Student Enrolment in Day Schools by Level and Sector,Education Bureau,XLS,Yearly,Provides student enrolment in day schools by level and sector,N
IT and Broadcasting,Statistics on Customer Access via PSTN,Office of the Communications Authority,XLSX,Monthly,Statistics on Customer Access via PSTN,Y
Education,"Staff Number (Headcount) in Academic Departments of UGC-funded Universities by Source of Salary Funding, University, Staff Grade and Mode of Employment",University Grants Committee Secretariat,CSV,Every year,Statistics on staff in UGC-funded univerisites,N
IT and Broadcasting,The Numbering Plan for Telecommunications Services in Hong Kong,Office of the Communications Authority,XLSX,Monthly,The Numbering Plan for Telecommunications Services in Hong Kong,N
IT and Broadcasting,Web/Mobile App Accessibility Services Providers List,Office of the Government Chief Information Officer,XLS,As and when necessary,The list of suppliers that provide ICT professional services for the implementation of web/mobile app accessibility designs.,Y
Education,School Registration Information,Education Bureau,XML,Daily,"Lists of registered schools and information on registration status, registered premises and permitted accommodation of classroom and boarding rooms, etc.

Registered schools cover those institutions which provide any nursery, kindergarten, primary,...",N
Education,Programme Information,Education Bureau,XLSX,Once a year,List of Full-time Locally-accredited Undergraduate and Sub-degree Programmes Published in iPASS Website,N
Education,Research grants for UGC-funded universities,University Grants Committee Secretariat,CSV,Every year,Research grants for UGC-funded universities,Y
Education,School Location and Information,Education Bureau,CSV/JSON/XLSX,Monthly,"Geo-referenced data and other relevant information of government, private, aided, Direct Subsidy Scheme, English Schools Foundation and international schools, kindergartens and kindergartens cum-child care centre",Y
Education,"Operating Classes, Accommodation, Student Enrolment and Repeaters in Secondary Day Schools by Sector",Education Bureau,XLS,Yearly,"Provides operating classes, accommodation, student enrolment and repeaters in secondary day schools by sector",N
Education,Scholarships/ Awards Information,Education Bureau,XLSX,Once a year,Scholarships/ Awards Granted under Self-financing Post-secondary Scholarship Scheme,N
IT and Broadcasting,Statistics on Mobile Number Portings,Office of the Communications Authority,XLSX,Monthly,Statistics on Mobile Number Portings,N
Education,"Operating Classes, Accommodation, Student Enrolment and Repeaters in Primary Schools by Sector",Education Bureau,XLS,Yearly,"Provides operating classes, accommodation, student enrolment and repeaters in primary schools by sector",N
Education,Prizes and Awards by Broad Subject Area and by University,University Grants Committee Secretariat,CSV,Every year,Statistics on prize and awards,N
Education,"Operating Classes, Accommodation, Student Enrolment and Repeaters in Secondary Day Schools by Grade",Education Bureau,XLS,Yearly,"Provides operating classes, accommodation, student enrolment and repeaters in secondary day schools by grade",N
IT and Broadcasting,Past Programmes in Encouraging ICT Adoption among the Elderly by OGCIO,Office of the Government Chief Information Officer,XLS,As and when necessary,List of completed programmes funded by the OGCIO in encouraging ICT adoption among the elderly - the OGCIO implemented various programmes in past years to encourage elderly using ICT to improve their quality of life and stay connected to the community...,Y
IT and Broadcasting,Listing of Government Public Cloud Services Providers,Office of the Government Chief Information Officer,XML,As and when necessary,The Government has developed a list of government public cloud services providers for reference by bureaux and departments in procuring public cloud services. IT firms may find it valuable to have collaboration opportunities with the listed providers.,N
IT and Broadcasting,List of Services-Based Operator (SBO) Licensees,Office of the Communications Authority,XLSX,As and when necessary,List of Services-Based Operator (SBO) Licensees,Y
IT and Broadcasting,List of Internet Service Providers (ISP),Office of the Communications Authority,XLSX,Monthly,List of Internet Service Providers (ISP),Y
IT and Broadcasting,List of Carrier Licences,Office of the Communications Authority,XLSX,As and when necessary,List of Carrier Licences,N
IT and Broadcasting,Press Releases,Office of the Government Chief Information Officer,JSON,As and when necessary,Press Releases of Office of the Government Chief Information Officer,N
IT and Broadcasting,Public Payphone Register,Office of the Communications Authority,XLSX,Quarterly,Public Payphone Register,Y
IT and Broadcasting,Press Releases,Information Services Department,RSS,As and when necessary,Press Releases from the HKSAR Government.,N
IT and Broadcasting,Notice of Open Tender,Office of the Government Chief Information Officer,XLS,As and when necessary,Notice of OGCIO Open Tender.,N
Development,1:100 000 Topographic Map of Hong Kong,Lands Department,TIF,As and when necessary,"Hong Kong Special 
Administrative Region 1:100 000 Topographic Map",N
IT and Broadcasting,Funded projects under the Development of Assistive Technology for Persons with Disabilities Fund,Office of the Government Chief Information Officer,XLS,As and when necessary,"List of funded projects under the Development of Assistive Technology for Persons with Disabilities Fund.

The Office of the Government Chief Information Officer allocated a one-off funding of HK$3.6 million in 2010-11 to support the development of...",Y
Education,"List of Kindergartens Joining the ""Free Quality Kindergarten Education Scheme"" in the 2017/18 school year",Education Bureau,XLSX,On a need basis,"Provide list of kindergartens joining the ""Free Quality Kindergarten Education Scheme” in the 2017/18 school year",N
IT and Broadcasting,Information Technology Usage and Penetration in the Business Sector,Census and Statistics Department,XLS,Annual/ Ad hoc,Information Technology Usage and Penetration in the Business Sector,N
IT and Broadcasting,Key Statistics on Wireless Service in Hong Kong,Office of the Communications Authority,XLSX,Monthly,Key Statistics on Wireless Service in Hong Kong,N
IT and Broadcasting,Job Vacancies,Office of the Government Chief Information Officer,JSON,As and when necessary,To provide relevant information of Job Vacancies of the Office of the Government Chief Information Officer.,N
IT and Broadcasting,Key Communications Statistics,Office of the Communications Authority,XLSX,Monthly,Key Communications Statistics,N
Education,Key Statistics on Special Education,Education Bureau,XLSX,Yearly,Provides key statistics on special education.,N
Education,Key Statistics on Secondary Education,Education Bureau,XLSX,Yearly,Provides key statistics on secondary education.,N
IT and Broadcasting,Frequency Table for Television Broadcasting Services in Hong Kong,Office of the Communications Authority,XLSX,As and when necessary,Frequency Table for Television Broadcasting Services in Hong Kong,N
IT and Broadcasting,Financial Secretary - My Blog,Financial Secretary's Office,XML,As and when necessary,Financial Secretary - My Blog,N
IT and Broadcasting,Frequency Table for Analogue Sound Broadcasting Services in Hong Kong,Office of the Communications Authority,XLSX,As and when necessary,Frequency Table for Analogue Sound Broadcasting Services in Hong Kong,N
IT and Broadcasting,"Expression of Interest, Request for Information and Request for Proposals",Office of the Government Chief Information Officer,XLS,As and when necessary,"Expression of Interest, Request for Information and Request for Proposals of Office of the Government Chief Information Officer.",N
Development,1:100 000 Orthophoto Map of Hong Kong,Lands Department,TIF,As and when necessary,Hong Kong Special Administrative Region 1:100 000 Orthophoto Map,N
Education,List of Academic Programme Categories,University Grants Committee Secretariat,CSV,When necessary,List of all academic programme categories.,Y
Education,Key Statistics on Primary Education,Education Bureau,XLSX,Yearly,Provides key statistics on primary education.,N
IT and Broadcasting,Distribution of approved projects of Innovation and Technology Fund among different technology sectors,Innovation and Technology Commission,XLS,Every 1 month,Distribution of approved projects of Innovation and Technology Fund among different technology sectors,N
IT and Broadcasting,Feature Articles on Information Technology and Broadcasting,Census and Statistics Department,CSV/XLS,Ad hoc,Feature Articles on Information Technology and Broadcasting,N
Education,Government Expenditure on Education,Education Bureau,XLSX,Yearly,Provides government expenditure on education.,N
IT and Broadcasting,Contractor List of Centrally organised IT contracts,Office of the Government Chief Information Officer,XLS,As and when necessary,The Government has arranged various centrally organised IT contracts for providing IT products and services to the bureaux and departments. IT firms may find it valuable to have collaboration opportunities with the existing contractors.,Y
Education,Facilities Information,Education Bureau,XLSX,Once a year,Facilities and Contacts Information on the Self-financing Post-secondary Institutions,N
Education,Educational and Training Institutions by Level of Education of Courses Offered,Education Bureau,XLSX,Yearly,Provides the number of educational and training institutions by level of education of courses offered.,N
Education,Distribution of Educational Attainment of Population Aged 15 and Over,Education Bureau,XLSX,Yearly,Provides distribution of educational attainment of population aged 15 and over.,N
Education,Deadlines for Submissions of Various Applications,Working Family and Student Financial Assistance Agency,XLSX,As and when necessary,Provides a list of deadlines for submissions of various applications,Y
Education,Day Schools by Level and Sector,Education Bureau,XLS,Yearly,Provides day schools by level and sector,N
Education,Key Statistics on Kindergarten Education,Education Bureau,XLSX,Yearly,Provides key statistics on kindergarten education.,N
Education,Feature Articles on Education,Census and Statistics Department,XLS,Ad hoc,Feature Articles on Education,N
Development,Monthly Digests of Buildings Department - New buildings - Notification of commencement of general building and superstructure work,Buildings Department,XLS,Monthly,"Statistics extracted from the Monthly Digests published by the Buildings Department.

For more details about this dataset, you may refer to the PDF version of the Monthly Digests published on [the website of the Buildings...",N
Education,Accommodation and Student Enrolment in Kindergartens by Grade,Education Bureau,XLS,Yearly,Provides accommodation and student enrolment in kindergartens by grade,N
IT and Broadcasting,Computerisation in the Government,Office of the Government Chief Information Officer,XLS,Every 6 months,Some relevant figures concerning computerisation in the Government,Y
IT and Broadcasting,Digital Inclusion Mobile Apps,Office of the Government Chief Information Officer,XLS,As and when necessary,"List of mobile apps developed under the Funding Scheme for Digital Inclusion Mobile Apps.

The Office of the Government Chief Information Officer launched the funding scheme in 2012-13, 2014-15 and 2016-17 respectively to encourage the development of...",Y
IT and Broadcasting,Distribution of approved projects of Innovation and Technology Fund among different industrial sectors,Innovation and Technology Commission,XLS,Every 1 month,Distribution of approved projects of Innovation and Technology Fund among different industrial sectors,N
IT and Broadcasting,Digital Terrestrial Television (DTT) Coverage Database,Office of the Communications Authority,XLSX,As and when necessary,Digital Terrestrial Television (DTT) Coverage Database,N
Education,2017 HKDSE Analysis of results of candidates in each subject,Hong Kong Examinations and Assessment Authority,CSV,Yearly,"The 2017 HKDSE Examination offers 24 Category A subjects, 19 of which offer both Chinese and English versions for candidates to choose from. The same marking scheme and grading standard were used for the Chinese and English versions of subjects with...",N
Food,Wholesale prices of major fresh food (average reference figures),"Agriculture, Fisheries and Conservation Department",CSV,Everyday,Daily wholesale prices of major fresh food in Hong Kong,N
Food,Supply of major fresh food  (reference figures),"Agriculture, Fisheries and Conservation Department",CSV,Everyday,Daily supply of major fresh food in Hong Kong,N
Food,Sale of restricted food permits,Food and Environmental Hygiene Department,XML,Daily at 9:00am,List of premises holding sale of restricted food permits in Hong Kong,N
Food,Average daily supply and auction prices of live pigs in the past 12 months,Food and Environmental Hygiene Department,XML,Daily at 6:00pm,Average daily supply and auction prices of live pigs in the past 12 months,N
City Management,Drinking Water Quality (Part D.  Other parameters ),Water Supplies Department,CSV,Every 6 months,Provide Statistics on Drinking Water Quality (Part D.  Other parameters ),N
City Management,Drinking Water Quality (Part C.  Radiological quality),Water Supplies Department,CSV,Every 6 months,Provide Statistics on Drinking Water Quality (Part C.  Radiological quality),N
City Management,Drinking Water Quality (Part B.  Chemicals of health significance as described by World Health Organization's Guidelines for Drinking-water Quality 2011),Water Supplies Department,CSV,Every 6 months,Provide Statistics on Drinking Water Quality (Part B.  Chemicals of health significance as described by World Health Organization's Guidelines for Drinking-water Quality 2011),N
City Management,Drinking Water Quality (Part A.  Microbiological quality),Water Supplies Department,CSV,Every 6 months,Provide Statistics on Drinking Water Quality (Part A.  Microbiological quality),N
Food,Registered Pesticides List - Part I,"Agriculture, Fisheries and Conservation Department",XLSX,Update when necessary,Registered Pesticides List - Part I,Y
Food,Restaurant licences,Food and Environmental Hygiene Department,XML,Daily at 9:00am,List of licensed restaurants in Hong Kong,N
Food,Registered Pesticides List - Part II,"Agriculture, Fisheries and Conservation Department",XLSX,Update when necessary,Registered Pesticides List - Part II,Y
Food,Pesticides Licensee List - Part I,"Agriculture, Fisheries and Conservation Department",CSV,Every 3 months,Part I of pesticides licensee list in Hong Kong,N
Food,Food licences (except restaurant licences),Food and Environmental Hygiene Department,XML,Daily at 9:00am,List of premises holding food licences (except restaurant licences) in Hong Kong,N
Education,2017 HKDSE Results statistics,Hong Kong Examinations and Assessment Authority,CSV,Yearly,"The general minimum requirement for admissions to first-degree courses in tertiary institutions is ‘core subjects at 3322’, which refers to attainment with level 3 in Chinese Language and English Language, and level 2 in Mathematics Compulsory Part...",N
City Management,Drinking Water Quality (Full Report ),Water Supplies Department,XLSX,Every 6 months,Provide Statistics on Drinking Water Quality (Full Report),N
City Management,Accessible facilities in Hong Kong,The Hong Kong Society for Rehabilitation,XML,As and when necessary,"A list of accessible facilities at local attractions, hotels, shopping / dining locations and other venues

This dataset is the result of an extensive study on the accessibility of tourists' facilities in Hong Kong focusing on accommodation, dining...",N
Law and Security,Feature Articles on Law and Security,Census and Statistics Department,XLS,Ad hoc,Feature Articles on Law and Security,N
Law and Security,Information Desk - Access Co-ordinator in Correctional Services Department,Correctional Services Department,XLS,As and when necessary,"Information Desk - Access Co-ordinator in Correctional Services Department  to enhance the accessibility of Government premises, facilities and services",N
Law and Security,Customs Statistics on Stop and Search of Persons / Vehicles and Road Block Operations,Customs and Excise Department,XLSX,Annually,Statistics on stop and search of persons / vehicles and road block operations by the Customs and Excise Department,N
Law and Security,Police in Figures,Hong Kong Police Force,,As and when necessary,Police in Figures,N
Law and Security,Other reward notices,Hong Kong Police Force,XML,As and when necessary,Other reward notices (not associated with wanted persons) issued by the Hong Kong Police,N
Law and Security,Crime Statistics Comparison,Hong Kong Police Force,XLS,As and when necessary,Crime Statistics Comparison,N
Law and Security,Approved Hand-in Articles,Correctional Services Department,XLS,As and when necessary,Persons in custody are allowed to receive some approved hand-in articles from their visitors upon visit.,Y
Law and Security,Correctional Institutions Information,Correctional Services Department,XLS,As and when necessary,"Correctional Services Department Institutions Information
",Y
Law and Security,A Chronology of CSD's Development and Penal Measures of Hong Kong,Correctional Services Department,XLS,As and when necessary,This chronology provides brief reference of the historical development of the Correctional Services Department and penal measures of Hong Kong. The exact dates for the events are given if available.,Y
Law and Security,Crime Statistics in Detail,Hong Kong Police Force,XLS,As and when necessary,Crime Statistics in Detail,N
Law and Security,Missing persons,Hong Kong Police Force,XML,As and when necessary,Missing persons,N
Law and Security,Information Desk -  Privacy Statement,Correctional Services Department,XLS,As and when necessary,Information Desk -  Privacy Statement on Correctional Services Department Policies and Practices in Relation to Personal Data,N
Law and Security,Rehabilitation - Committee on Community Support for Rehabilitated Offenders,Correctional Services Department,XLS,As and when necessary,"Rehabilitation - Committee on Community Support for Rehabilitated Offenders with community leaders, employers, education sector, professionals and representatives of non-government organisations and government departments to advise on rehabilitation...",N
Law and Security,Population in Penal Institutions,Correctional Services Department,XLS,As and when necessary,Population in Penal Institutions,N
Law and Security,"Customs Statistics on Cases, Seizures and Arrests",Customs and Excise Department,XLSX,Annually,"Statistics on cases, seizures and arrests by the Customs and Excise Department",N
Law and Security,Information Desk - Access Officer Scheme,Correctional Services Department,XLS,As and when necessary,"Information Desk - Access Officers in Correctional Services Department to enhance the accessibility of Government premises, facilities and services",Y
Law and Security,Rehabilitation - Overview,Correctional Services Department,XLS,As and when necessary,Rehabilitation - Overview on rehabilitation services for offenders,N
Law and Security,Recruitment - CSD Posts,Correctional Services Department,XLS,As and when necessary,Recruitment -  Details of CSD Posts,N
Law and Security,Population under CSD Management / Supervision,Correctional Services Department,XLS,As and when necessary,Population under CSD Management / Supervision,Y
Law and Security,Public Order Event Statistics,Hong Kong Police Force,XLS,As and when necessary,Public Order Event Statistics,N
Law and Security,Rehabilitation - Publicity Activities for Rehabilitated Persons,Correctional Services Department,XLS,As and when necessary,Rehabilitation - Correctional Services Department  has organised a series of publicity and public education activities to appeal for public acceptance of and community support for rehabilitated persons,N
Law and Security,Rewards & Special Services,Hong Kong Police Force,XLS,As and when necessary,Rewards & Special Services,Y
Law and Security,Wanted persons with reward notices,Hong Kong Police Force,XML,As and when necessary,"Such information as name, descriptions and portrait of the wanted persons with reward notices",N
Law and Security,Traffic Annual Report,Hong Kong Police Force,JSON,As and when necessary,Hong Kong Police Force provides traffic annual reports for the public to acquire the traffic statistics.,N
